id,korName,engName,description,price,imagePath
1,아메리카노,Americano,진한 에스프레소와 물의 조화,4500,/images/americano.jpg
2,카페라떼,Cafe Latte,부드러운 우유와 에스프레소의 만남,5000,/images/latte.jpg
3,카푸치노,Cappuccino,풍성한 우유 거품과 에스프레소의 조화,5500,/images/cappuccino.jpg
4,바닐라 라떼,Vanilla Latte,달콤한 바닐라 시럽과 우유, 에스프레소의 조화,6000,/images/vanilla-latte.jpg
5,초콜릿 라떼,Chocolate Latte,진한 초콜릿과 우유의 조화,6500,/images/chocolate-latte.jpg
6,녹차 라떼,Green Tea Latte,부드러운 녹차와 우유의 조화,6500,/images/green-tea-latte.jpg
7,딸기 스무디,Strawberry Smoothie,신선한 딸기와 우유의 조화,7000,/images/strawberry-smoothie.jpg
8,블루베리 스무디,Blueberry Smoothie,신선한 블루베리와 우유의 조화,7000,/images/blueberry-smoothie.jpg
9,망고 스무디,Mango Smoothie,신선한 망고와 우유의 조화,7000,/images/mango-smoothie.jpg
10,자몽 에이드,Grapefruit Ade,상큼한 자몽과 탄산수의 조화,6000,/images/grapefruit-ade.jpg
11,레몬 에이드,Lemon Ade,상큼한 레몬과 탄산수의 조화,6000,/images/lemon-ade.jpg
12,자바 칩 프라푸치노,Java Chip Frappuccino,진한 커피와 초콜릿 칩의 조화,7000,/images/java-chip-frappuccino.jpg
13,카라멜 마끼아또,Caramel Macchiato,달콤한 카라멜 시럽과 우유, 에스프레소의 조화,6500,/images/caramel-macchiato.jpg
14,화이트 초콜릿 모카,White Chocolate Mocha,부드러운 화이트 초콜릿과 에스프레소의 조화,7000,/images/white-chocolate-mocha.jpg
15,민트 초콜릿 칩 프라푸치노,Mint Chocolate Chip Frappuccino,상큼한 민트와 초콜릿 칩의 조화,7500,/images/mint-chocolate-chip-frappuccino.jpg
16,체리 블라썸 그린 티 프라푸치노,Cherry Blossom Green Tea Frappuccino,벚꽃과 녹차의 조화,7500,/images/cherry-blossom-green-tea-frappuccino.jpg
17,스트로베리 크림 프라푸치노,Strawberry Cream Frappuccino,신선한 딸기와 크림의 조화,7000,/images/strawberry-cream-frappuccino.jpg
18,블루베리 크림 프라푸치노,Blueberry Cream Frappuccino,신선한 블루베리와 크림의 조화,7000,/images/blueberry-cream-frappuccino.jpg
19,망고 크림 프라푸치노,Mango Cream Frappuccino,신선한 망고와 크림의 조화,7000,/images/mango-cream-frappuccino.jpg
20,자몽 허니 블랙 티,Grapefruit Honey Black Tea,상큼한 자몽과 달콤한 꿀, 홍차의 조화,6500,/images/grapefruit-honey-black-tea.jpg
21,레몬 진저 티,Lemon Ginger Tea,상큼한 레몬과 생강의 조화,6000,/images/lemon-ginger-tea.jpg
22,캐모마일 티,Chamomile Tea,심신 안정에 좋은 캐모마일 차,5500,/images/chamomile-tea.jpg
23,페퍼민트 티,Peppermint Tea,상쾌한 페퍼민트 차,5500,/images/peppermint-tea.jpg
24,얼그레이 티,Earl Grey Tea,향긋한 베르가못 향의 홍차,5500,/images/earl-grey-tea.jpg
25,로즈마리 허브 티,Rosemary Herb Tea,향긋한 로즈마리 허브차,6000,/images/rosemary-herb-tea.jpg
26,레몬 마카롱,Lemon Macaron,상큼한 레몬 필링의 마카롱,3000,/images/lemon-macaron.jpg
27,초콜릿 마카롱,Chocolate Macaron,진한 초콜릿 필링의 마카롱,3000,/images/chocolate-macaron.jpg
28,바닐라 마카롱,Vanilla Macaron,부드러운 바닐라 필링의 마카롱,3000,/images/vanilla-macaron.jpg
29,딸기 마카롱,Strawberry Macaron,신선한 딸기 필링의 마카롱,3000,/images/strawberry-macaron.jpg
30,블루베리 마카롱,Blueberry Macaron,신선한 블루베리 필링의 마카롱,3000,/images/blueberry-macaron.jpg
31,초콜릿 크루아상,Chocolate Croissant,진한 초콜릿이 들어간 크루아상,4500,/images/chocolate-croissant.jpg
32,아몬드 크루아상,Almond Croissant,고소한 아몬드 슬라이스가 올라간 크루아상,5000,/images/almond-croissant.jpg
33,플레인 스콘,Plain Scone,담백한 플레인 스콘,4000,/images/plain-scone.jpg
